period,experiment_runn,measurer,main,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
15,40227,60243,49281436,110613,17,45017,13397,32920,1103883,27248,290216,4124,0.47
16,43593,63243,50254859,118341,17,45017,13397,33941,1123820,27248,290216,4124,0.30
17,48045,69167,52203849,127874,17,45017,13397,36036,1165289,27248,290216,4124,0.12
18,51717,72065,53183174,134244,17,45017,13397,36988,1181980,27248,290216,4124,0.24
19,55979,75055,54161387,141350,17,45017,13397,37677,1197846,27248,290216,4124,0.30
20,59073,78057,55140064,146966,17,45017,13397,38636,1213614,27248,290216,4124,0.21
21,72117,86997,58065837,168673,17,45017,13397,41095,1267858,27248,290216,4124,0.30
22,75734,90005,59042001,175059,17,45017,13397,41994,1285662,27248,290216,4124,0.25
23,80140,92998,60017725,182497,17,45017,13397,43016,1302609,27248,290216,4124,0.31
24,84820,95986,60990129,191109,17,45017,13397,43962,1322656,27248,290216,4124,0.33
25,87377,98999,61961979,202799,17,45017,13397,44833,1345769,27248,290216,4124,0.53
26,88414,102020,62938954,209697,17,45017,13397,45724,1365576,27248,290216,4124,0.26
27,94989,105032,63907868,221745,17,45017,13397,46843,1388461,27248,290216,4124,0.58
28,96164,108047,64877783,231953,17,45017,13397,47998,1414856,27248,290216,4124,0.49
29,97166,111067,65853313,238667,17,45017,13397,48910,1436292,27248,290216,4124,0.25
30,103559,113815,66826955,249670,17,45017,13397,49702,1455349,27248,290216,4124,0.47
31,108729,116812,69488924,266523,17,45017,13397,50559,1483714,27248,290216,4124,0.78
32,115622,119662,68767192,277076,17,45017,13397,51379,1504153,27248,290216,4124,0.47
33,120297,122673,71475921,284910,17,45017,13397,52213,1523238,27248,290216,4124,0.32
34,125383,125497,70715767,293752,17,45017,13397,53114,1544267,27248,290216,4124,0.34
35,132555,128503,71681026,307337,17,45017,13397,54198,1570303,27248,290216,4124,0.72
36,139338,131585,72644368,321444,17,45017,13397,55092,1597770,27248,290216,4124,0.77
37,141129,134463,73612473,335747,17,45017,13397,56232,1625313,27248,290216,4124,0.63
38,141129,137559,74600632,337148,17,45017,13397,57187,1635082,27248,290216,4124,0.01
39,141786,140633,75585415,339656,17,45017,13397,58059,1648374,27248,290216,4124,0.06
40,141786,143711,76579206,340618,17,45017,13397,58572,1654085,27248,290216,4124,0.00
41,141786,146783,77572697,341515,17,45017,13397,59160,1660093,27248,290216,4124,0.00
42,143558,149853,78549995,349547,17,45017,13397,60071,1679909,27248,290216,4124,0.32
43,143558,152869,79532474,355671,17,45017,13397,60840,1695632,27248,290216,4124,0.25
44,143558,155950,80526176,356619,17,45017,13397,61331,1701465,27248,290216,4124,0.00
45,143558,159020,81517529,358271,17,45017,13397,62097,1709101,27248,290216,4124,0.00
46,143794,162094,82509019,359516,17,45017,13397,62773,1716664,27248,290216,4124,0.01
47,144987,165169,83492180,364248,17,45017,13397,63543,1730145,27248,290216,4124,0.17
48,144987,168246,84485879,365193,17,45017,13397,64074,1735946,27248,290216,4124,0.00
49,144987,171318,85479085,366150,17,45017,13397,64723,1742178,27248,290216,4124,0.00
50,144987,174383,86473159,367065,17,45017,13397,65223,1747677,27248,290216,4124,0.00
51,144987,177461,87466777,367984,17,45017,13397,65737,1753605,27248,290216,4124,0.00
52,144987,180535,88460274,368905,17,45017,13397,66305,1759600,27248,290216,4124,0.00
53,144987,183605,89453491,369797,17,45017,13397,66888,1765893,27248,290216,4124,0.00
54,144987,186675,90444898,371300,17,45017,13397,67438,1773713,27248,290216,4124,0.00
55,144987,189761,91438524,372364,17,45017,13397,68013,1778489,27248,290216,4124,0.00
56,145540,192834,92426015,375227,17,45017,13397,68881,1788356,27248,290216,4124,0.04
57,145540,195911,93416079,377095,17,45017,13397,69782,1797429,27248,290216,4124,0.04
58,145540,198989,94409975,378011,17,45017,13397,70302,1803076,27248,290216,4124,0.00
59,145540,202063,95403596,378944,17,45017,13397,70791,1809015,27248,290216,4124,0.00
60,145540,205133,96398176,379842,17,45017,13397,71363,1813951,27248,290216,4124,0.00
61,145540,207740,97392475,380673,17,45017,13397,71937,1819843,27248,290216,4124,0.00
62,145540,210964,98386515,381551,17,45017,13397,72456,1825236,27248,290216,4124,0.00
63,145540,214201,99379594,382559,17,45017,13397,73027,1831477,27248,290216,4124,0.00
64,145540,217438,100372626,383680,17,45017,13397,73628,1837766,27248,290216,4124,0.00
65,145540,220480,101364328,384641,17,45017,13397,74285,1845830,27248,290216,4124,0.00
66,146190,223700,102355038,385824,17,45017,13397,74816,1852592,27248,290216,4124,0.00
67,146190,226856,103348028,386890,17,45017,13397,75526,1858846,27248,290216,4124,0.00
68,146190,230094,104340568,387873,17,45017,13397,76115,1864708,27248,290216,4124,0.00
69,146190,233339,105332373,389005,17,45017,13397,76721,1871206,27248,290216,4124,0.00
70,146190,236577,106325790,389951,17,45017,13397,77227,1876153,27248,290216,4124,0.00
71,146190,239821,107317770,390895,17,45017,13397,77825,1882442,27248,290216,4124,0.00
72,146190,243067,108310191,391796,17,45017,13397,78413,1888341,27248,290216,4124,0.00
73,146190,246309,109302634,392720,17,45017,13397,78948,1894253,27248,290216,4124,0.00
74,146190,249551,110291690,394327,17,45017,13397,79688,1903022,27248,290216,4124,0.00
75,146190,252808,111285218,395357,17,45017,13397,80325,1908707,27248,290216,4124,0.00
76,149822,256050,112259069,401753,17,45017,13397,81083,1929132,27248,290216,4124,0.26
77,154900,259208,115543976,410848,17,45017,13397,81896,1948452,27248,290216,4124,0.46
78,156615,262291,114218181,416139,17,45017,13397,82739,1963515,27248,290216,4124,0.21
79,156997,265542,115202519,418903,17,45017,13397,83951,1976103,27248,290216,4124,0.07
80,159384,268792,116187127,423360,17,45017,13397,84643,1987574,27248,290216,4124,0.18
81,169572,271942,117148732,439618,17,45017,13397,85548,2015185,27248,290216,4124,0.85
82,174338,274948,118122340,447555,17,45017,13397,86602,2035034,27248,290216,4124,0.37
83,175651,278190,119107676,450796,17,45017,13397,87511,2047332,27248,290216,4124,0.11
84,175651,281461,120096017,452511,17,45017,13397,88292,2056633,27248,290216,4124,0.00
85,175651,284641,121088927,453599,17,45017,13397,88818,2062057,27248,290216,4124,0.00
86,179940,291148,123047019,462810,17,45017,13397,90837,2095042,27248,290216,4124,0.29
87,182070,294395,124021822,470637,17,45017,13397,91970,2114739,27248,290216,4124,0.32
88,182919,297649,125006174,473334,17,45017,13397,92988,2126934,27248,290216,4124,0.07
89,188270,300889,125980354,482883,17,45017,13397,93881,2146243,27248,290216,4124,0.44
