period,experiment_runn,measurer,main,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
152,319832,713782,186040300,12159989,17,45013,20735,167855,3802119,27248,290216,4092,0.01
153,319832,717023,187026706,12211427,17,45013,20735,168856,3814508,27248,290216,4092,0.01
154,319832,720267,188012585,12311822,17,45013,20735,169800,3827477,27248,290216,4092,0.01
155,319832,723510,188999430,12367226,17,45013,20735,170803,3839423,27248,290216,4092,0.01
156,320463,726752,189985441,12444056,17,45013,20735,171772,3851606,27248,290216,4092,0.01
157,320463,729970,183430029,12512496,17,45013,20735,172681,3863073,27248,290216,4092,0.01
158,320463,741657,191990269,12619212,17,45013,20735,173764,3876483,27248,290216,4092,0.01
159,320463,744897,192978308,12694285,17,45013,20735,174546,3887463,27248,290216,4092,0.01
160,320463,748141,193967022,12770667,17,45013,20735,175359,3897728,27248,290216,4092,0.01
161,320463,751389,194954254,12877432,17,45013,20735,176239,3909405,27248,290216,4092,0.02
162,320463,754634,195942947,12959951,17,45013,20735,176934,3919809,27248,290216,4092,0.01
